dias;antelacion;checkin;checkout;reserva;pension;categoria_habitacion;num_adults;num_childs;precio_habitacion;agency_commission;discount_amount;status;segmento;is_from_channel;operador;Edad Actual;gender;state;province;postal_code;evento
1;59;26/10/2024;27/10/2024;28/08/2024 13:25;1;94;2;0;220.00;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
4;23;20/09/2024;24/09/2024;28/08/2024 11:00;1;94;2;0;748.60;0;0;3;NULL;1;PARITYRATE;NULL;0;101;;;NULL
3;23;20/09/2024;23/09/2024;28/08/2024 5:10;1;94;2;0;544.72;0;0;3;NULL;1;PARITYRATE;NULL;0;47;;;NULL
3;6;01/09/2024;04/09/2024;26/08/2024 23:45;1;94;2;0;375.01;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;61;26/10/2024;27/10/2024;26/08/2024 14:50;1;94;2;0;220.00;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;44;09/10/2024;12/10/2024;26/08/2024 5:00;1;94;2;0;738.15;0;0;3;NULL;1;PARITYRATE;NULL;0;231;;;NULL
2;61;25/10/2024;27/10/2024;25/08/2024 11:00;1;94;2;0;418.00;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;174;14/02/2025;16/02/2025;24/08/2024 18:30;1;94;2;0;250.32;0;0;3;NULL;1;PARITYRATE;NULL;0;10;;;NULL
1;1;24/08/2024;25/08/2024;23/08/2024 22:55;1;94;2;0;94.50;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;0;23/08/2024;25/08/2024;23/08/2024 12:10;1;94;2;0;189.00;0;0;4;NULL;1;PARITYRATE;NULL;0;231;;;NULL
2;0;23/08/2024;25/08/2024;23/08/2024 9:00;1;94;2;0;175.01;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;0;23/08/2024;25/08/2024;23/08/2024 0:10;1;94;2;0;175.01;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;101;30/11/2024;01/12/2024;21/08/2024 14:45;1;94;2;0;157.52;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;25;14/09/2024;17/09/2024;20/08/2024 20:05;1;94;2;0;482.24;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;2;22/08/2024;23/08/2024;20/08/2024 15:20;1;94;2;0;87.51;0;0;4;NULL;1;PARITYRATE;NULL;0;231;;;NULL
2;73;01/11/2024;03/11/2024;20/08/2024 12:05;1;94;6;0;1014.00;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;73;01/11/2024;03/11/2024;20/08/2024 12:05;1;94;6;0;1014.00;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;73;01/11/2024;03/11/2024;20/08/2024 12:05;1;94;6;0;1014.00;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
4;38;27/09/2024;01/10/2024;20/08/2024 0:25;1;94;2;0;720.10;0;0;3;NULL;1;PARITYRATE;NULL;0;10;;;NULL
3;0;19/08/2024;22/08/2024;19/08/2024 10:47;1;94;2;0;419.76;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;28;16/09/2024;19/09/2024;19/08/2024 10:45;1;94;2;0;419.76;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;28;16/09/2024;19/09/2024;19/08/2024 10:05;1;94;2;0;419.76;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
7;72;28/10/2024;04/11/2024;17/08/2024 22:20;1;94;2;0;1171.36;0;0;3;NULL;1;PARITYRATE;NULL;0;148;;;NULL
1;2;17/08/2024;18/08/2024;15/08/2024 17:15;1;94;2;0;76.30;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;1;15/08/2024;18/08/2024;14/08/2024 12:15;1;94;4;0;457.81;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;1;15/08/2024;18/08/2024;14/08/2024 12:15;1;94;4;0;457.81;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;13;26/08/2024;27/08/2024;13/08/2024 21:35;1;94;2;0;83.30;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
10;66;16/10/2024;26/10/2024;11/08/2024 15:50;1;94;2;0;1983.01;0;0;3;NULL;1;PARITYRATE;NULL;0;155;;;NULL
3;0;11/08/2024;14/08/2024;11/08/2024 3:10;1;94;4;0;472.49;0;0;4;NULL;1;PARITYRATE;NULL;0;155;;;NULL
3;0;11/08/2024;14/08/2024;11/08/2024 3:10;1;94;4;0;472.49;0;0;4;NULL;1;PARITYRATE;NULL;0;155;;;NULL
4;47;26/09/2024;30/09/2024;10/08/2024 22:55;1;94;2;0;720.10;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;0;09/08/2024;10/08/2024;09/08/2024 19:10;1;94;2;0;69.00;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;22;31/08/2024;01/09/2024;09/08/2024 15:47;1;94;2;0;83.40;0;0;4;NULL;1;PARITYRATE;NULL;0;176;;;NULL
2;0;09/08/2024;11/08/2024;09/08/2024 10:00;1;94;2;0;144.00;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;1;10/08/2024;12/08/2024;09/08/2024 7:45;1;94;2;0;134.40;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;8;16/08/2024;17/08/2024;08/08/2024 23:30;1;94;2;0;77.40;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;4;12/08/2024;15/08/2024;08/08/2024 22:55;1;94;2;0;191.40;0;0;4;NULL;1;PARITYRATE;NULL;0;10;;;NULL
2;2;09/08/2024;11/08/2024;07/08/2024 22:50;1;94;2;0;137.99;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
5;12;19/08/2024;24/08/2024;07/08/2024 21:10;1;94;2;0;361.79;0;0;4;NULL;1;PARITYRATE;NULL;0;57;;;NULL
7;58;04/10/2024;11/10/2024;07/08/2024 17:40;1;94;2;0;1594.99;0;0;3;NULL;1;PARITYRATE;NULL;0;57;;;NULL
2;110;25/11/2024;27/11/2024;07/08/2024 2:05;1;94;2;0;278.01;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;37;12/09/2024;15/09/2024;06/08/2024 20:45;1;94;2;0;535.04;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;295;28/05/2025;31/05/2025;06/08/2024 12:20;1;94;2;0;616.54;0;0;2;NULL;1;PARITYRATE;NULL;0;10;;;NULL
3;45;19/09/2024;22/09/2024;05/08/2024 21:00;1;94;2;0;569.05;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;7;12/08/2024;13/08/2024;05/08/2024 17:25;1;94;2;0;75.60;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;52;23/09/2024;24/09/2024;02/08/2024 13:15;1;94;2;0;148.72;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;57;27/09/2024;29/09/2024;01/08/2024 23:40;1;94;4;0;840.00;0;0;3;NULL;1;PARITYRATE;NULL;0;106;;;NULL
2;57;27/09/2024;29/09/2024;01/08/2024 23:40;1;94;4;0;840.00;0;0;3;NULL;1;PARITYRATE;NULL;0;106;;;NULL
3;9;09/08/2024;12/08/2024;31/07/2024 7:00;1;94;2;0;257.26;0;0;4;NULL;1;PARITYRATE;NULL;0;231;;;NULL
1;0;30/07/2024;31/07/2024;30/07/2024 23:10;1;94;2;0;84.00;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
4;28;26/08/2024;30/08/2024;29/07/2024 13:35;1;94;2;0;345.00;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;5;02/08/2024;03/08/2024;28/07/2024 9:40;1;94;2;0;87.20;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;61;26/09/2024;28/09/2024;27/07/2024 16:55;1;94;2;0;360.05;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;113;16/11/2024;17/11/2024;26/07/2024 23:20;1;94;2;0;157.52;0;0;3;NULL;1;PARITYRATE;NULL;0;10;;;NULL
2;1;26/07/2024;28/07/2024;25/07/2024 21:20;1;94;4;0;400.00;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;1;26/07/2024;28/07/2024;25/07/2024 21:20;1;94;4;0;400.00;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;1;26/07/2024;28/07/2024;25/07/2024 13:10;1;94;2;0;200.00;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;4;29/07/2024;31/07/2024;25/07/2024 1:25;1;94;2;0;174.41;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;20;12/08/2024;13/08/2024;23/07/2024 9:05;1;94;2;0;87.20;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;9;01/08/2024;02/08/2024;23/07/2024 8:40;1;94;2;0;95.20;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;3;23/07/2024;25/07/2024;20/07/2024 18:10;1;94;2;0;190.41;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;7;27/07/2024;28/07/2024;20/07/2024 2:55;1;94;2;0;89.40;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;24;12/08/2024;14/08/2024;19/07/2024 9:00;1;94;2;0;130.81;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;1;19/07/2024;20/07/2024;18/07/2024 22:25;1;94;2;0;89.40;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;8;26/07/2024;28/07/2024;18/07/2024 15:30;1;94;2;0;178.81;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;5;23/07/2024;24/07/2024;18/07/2024 13:45;1;94;2;0;71.40;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;4;22/07/2024;23/07/2024;18/07/2024 11:10;1;94;2;0;71.40;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;4;22/07/2024;23/07/2024;18/07/2024 8:35;1;94;2;0;67.50;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;52;06/09/2024;08/09/2024;16/07/2024 16:25;1;94;2;0;309.60;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;5;16/07/2024;17/07/2024;11/07/2024 14:55;1;94;2;0;103.20;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;9;19/07/2024;20/07/2024;10/07/2024 19:40;1;94;2;0;159.20;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
4;12;21/07/2024;25/07/2024;09/07/2024 15:55;1;94;2;0;508.79;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
3;115;31/10/2024;03/11/2024;08/07/2024 21:47;1;94;2;0;528.31;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;0;08/07/2024;09/07/2024;08/07/2024 14:35;1;94;2;0;103.20;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;16;22/07/2024;23/07/2024;06/07/2024 15:47;1;94;2;0;143.20;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;5;11/07/2024;12/07/2024;06/07/2024 11:20;1;94;2;0;127.20;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
4;0;03/07/2024;07/07/2024;03/07/2024 21:15;1;94;2;0;627.30;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
6;52;24/08/2024;30/08/2024;03/07/2024 13:05;1;94;2;0;813.98;0;0;4;NULL;1;PARITYRATE;NULL;0;148;;;NULL
2;264;21/03/2025;23/03/2025;30/06/2024 15:30;1;94;2;0;396.00;0;0;3;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;9;08/07/2024;10/07/2024;29/06/2024 16:35;1;94;2;0;230.40;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
6;58;26/08/2024;01/09/2024;29/06/2024 12:15;1;94;2;0;823.98;0;0;4;NULL;1;PARITYRATE;NULL;0;148;;;NULL
1;48;13/08/2024;14/08/2024;26/06/2024 14:50;1;94;2;0;83.40;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;17;11/07/2024;12/07/2024;24/06/2024 22:45;1;94;2;0;89.40;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
11;57;20/08/2024;31/08/2024;24/06/2024 17:30;1;94;2;0;1508.96;0;0;4;NULL;1;PARITYRATE;NULL;0;148;;;NULL
1;99;27/09/2024;28/09/2024;20/06/2024 19:30;1;94;2;0;210.00;0;0;2;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;27;16/07/2024;18/07/2024;19/06/2024 18:50;1;94;4;0;596.00;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;27;16/07/2024;18/07/2024;19/06/2024 18:50;1;94;4;0;596.00;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;21;10/07/2024;11/07/2024;19/06/2024 8:15;1;94;2;0;149.00;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
1;15;02/07/2024;03/07/2024;17/06/2024 21:45;1;94;2;0;159.00;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
5;34;21/07/2024;26/07/2024;17/06/2024 15:45;1;94;2;0;658.77;0;0;4;NULL;1;PARITYRATE;NULL;0;107;;;NULL
1;2;17/06/2024;18/06/2024;15/06/2024 15:20;1;94;2;0;158.76;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
2;2;17/06/2024;19/06/2024;15/06/2024 13:10;1;94;2;0;309.12;0;0;4;NULL;1;PARITYRATE;NULL;0;205;;;NULL
